key,集合,zh_CN.名称,zh_CN.描述,en-us.名称,en-us.描述,zh_CN.解锁条件,en-us.解锁条件
eternal,Other,永恒卡,"不能出售
或被摧毁",Eternal,"Can't be sold
or destroyed",,
gold_seal,Other,金色蜡封,"这张牌被打出
并计分时
获得{C:money}$3{}",Gold Seal,"Earn {C:money}$3{} when this
card is played
and scores",,
gold_sticker,Other,金色标贴,"使用这张小丑牌
在{C:attention}金注
难度下获胜",Gold Sticker,"Used this Joker
to win on {C:attention}Gold
{C:attention}Stake{} difficulty",,
green_sticker,Other,绿标贴,"使用这张小丑牌
在{C:attention}绿注
难度下获胜",Green Sticker,"Used this Joker
to win on {C:attention}Green
{C:attention}Stake{} difficulty",,
joker_locked_legendary,Other,锁定,"通过{C:spectral}灵魂{}牌
发现这张小丑牌",Locked,"Find this Joker
from the {C:spectral}Soul{} card",,
locked,Other,锁定,{},Locked,{},,
orange_sticker,Other,橙标贴,"使用这张小丑牌
在{C:attention}橙注
难度下获胜",Orange Sticker,"Used this Joker
to win on {C:attention}Orange
{C:attention}Stake{} difficulty",,
p_arcana_jumbo,Other,巨型秘术包,"从最多{C:attention}#2#张{C:tarot}塔罗牌{}中
选择{C:attention}#1#{}张
即选即用",Jumbo Arcana Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:tarot} Tarot{} cards to
be used immediately",,
p_arcana_mega,Other,超级秘术包,"从最多{C:attention}#2#张{C:tarot}塔罗牌{}中
选择{C:attention}#1#{}张
即选即用",Mega Arcana Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:tarot} Tarot{} cards to
be used immediately",,
p_arcana_normal,Other,秘术包,"从最多{C:attention}#2#张{C:tarot}塔罗牌{}中
选择{C:attention}#1#{}张
即选即用",Arcana Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:tarot} Tarot{} cards to
be used immediately",,
p_buffoon_jumbo,Other,巨型小丑包,"从最多{C:attention}#2#张{C:joker}小丑牌{}中
选择{C:attention}#1#{}张",Jumbo Buffoon Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:joker} Joker{} cards",,
p_buffoon_mega,Other,超级小丑包,"从最多{C:attention}#2#张{C:joker}小丑牌{}中
选择{C:attention}#1#{}张",Mega Buffoon Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:joker} Joker{} cards",,
p_buffoon_normal,Other,小丑包,"从最多{C:attention}#2#张{C:joker}小丑牌{}中
选择{C:attention}#1#{}张",Buffoon Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:joker} Joker{} cards",,
p_celestial_jumbo,Other,巨型天体包,"从最多{C:attention}#2#张{C:planet}星球牌{}中
选择{C:attention}#1#{}张
即选即用",Jumbo Celestial Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:planet} Planet{} cards to
be used immediately",,
p_celestial_mega,Other,超级天体包,"从最多{C:attention}#2#张{C:planet}星球牌{}中
选择{C:attention}#1#{}张
即选即用",Mega Celestial Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:planet} Planet{} cards to
be used immediately",,
p_celestial_normal,Other,天体包,"从最多{C:attention}#2#张{C:planet}星球牌{}中
选择{C:attention}#1#{}张
即选即用",Celestial Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:planet} Planet{} cards to
be used immediately",,
p_spectral_jumbo,Other,巨型幻灵包,"从最多{C:attention}#2#张{C:spectral}幻灵牌{}中
选择{C:attention}#1#{}张
即选即用",Jumbo Spectral Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:spectral} Spectral{} cards to
be used immediately",,
p_spectral_mega,Other,超级幻灵包,"从最多{C:attention}#2#张{C:spectral}幻灵牌{}中
选择{C:attention}#1#{}张
即选即用",Mega Spectral Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:spectral} Spectral{} cards to
be used immediately",,
p_spectral_normal,Other,幻灵包,"从最多{C:attention}#2#张{C:spectral}幻灵牌{}中
选择{C:attention}#1#{}张
即选即用",Spectral Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:spectral} Spectral{} cards to
be used immediately",,
p_standard_jumbo,Other,巨型标准包,"从最多{C:attention}#2#张{C:attention}游戏牌{}中
选择{C:attention}#1#{}张
添加到你的牌组",Jumbo Standard Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:attention} Playing{} cards to
add to your deck",,
p_standard_mega,Other,超级标准包,"从最多{C:attention}#2#张{C:attention}游戏牌{}中
选择{C:attention}#1#{}张
添加到你的牌组",Mega Standard Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:attention} Playing{} cards to
add to your deck",,
p_standard_normal,Other,标准包,"从最多{C:attention}#2#张{C:attention}游戏牌{}中
选择{C:attention}#1#{}张
添加到你的牌组",Standard Pack,"Choose {C:attention}#1#{} of up to
{C:attention}#2#{C:attention} Playing{} cards to
add to your deck",,
perishable,Other,易腐,"经过{C:attention}#1#{}回合后
会被削弱
{C:inactive}（剩余{C:attention}#2#{C:inactive}回合）",Perishable,"Debuffed after
{C:attention}#1#{} rounds
{C:inactive}({C:attention}#2#{C:inactive} remaining)",,
pinned_left,Other,固定,"这张小丑牌
固定在
最左侧",Pinned,"This Joker stays
pinned to the
leftmost position",,
playing_card,Other,,{V:1}#2#{C:light_black}#1#,, {C:light_black}#1# of {V:1}#2# ,,
purple_seal,Other,紫色蜡封,"被{C:attention}弃掉{}时
生成一张{C:tarot}塔罗牌{}
{C:inactive}（必须有空位）",Purple Seal,"Creates a {C:tarot}Tarot{} card
when {C:attention}discarded
{C:inactive}(Must have room)",,
purple_sticker,Other,紫标贴,"使用这张小丑牌
在{C:attention}紫注
难度下获胜",Purple Sticker,"Used this Joker
to win on {C:attention}Purple
{C:attention}Stake{} difficulty",,
red_seal,Other,红色蜡封,"重新触发
此卡牌{C:attention}1{}次",Red Seal,"Retrigger this
card {C:attention}1{} time",,
red_sticker,Other,红标贴,"使用这张小丑牌
在{C:attention}红注
难度下获胜",Red Sticker,"Used this Joker
to win on {C:attention}Red
{C:attention}Stake{} difficulty",,
remove_negative,Other,n,"{C:inactive,s:0.9}（移除复制牌的{C:dark_edition,s:0.9}负片{C:inactive,s:0.9}）",n,"{C:inactive,s:0.9}(Removes {C:dark_edition,s:0.9}Negative{C:inactive,s:0.9} from copy)",,
rental,Other,租用,"售价为$1，在回合
结束时失去{C:money}$#1#{}",Rental,"Lose {C:money}$#1#{} at
end of round",,
undiscovered_booster,Other,未发现,"在非预设局
中打开此包
以了解其效果",Not Discovered,"Open this pack
in an unseeded run
to learn what it does",,
undiscovered_edition,Other,未发现,"在非预设局
中找到此版本
以了解其效果",Not Discovered,"Find this edition
in an unseeded run
to learn what it does",,
undiscovered_joker,Other,未发现,"在非预设局
中购买或
使用此牌
以了解其效果",Not Discovered,"Purchase or use
this card in an
unseeded run to
learn what it does",,
undiscovered_planet,Other,未发现,"在非预设局
中购买或
使用此牌
以了解其效果",Not Discovered,"Purchase or use
this card in an
unseeded run to
learn what it does",,
undiscovered_spectral,Other,未发现,"在非预设局
中购买或
使用此牌
以了解其效果",Not Discovered,"Purchase or use
this card in an
unseeded run to
learn what it does",,
undiscovered_tag,Other,未发现,"在非预设局
中使用此标签
以了解其效果",Not Discovered,"Use this tag in
an unseeded run to
learn what it does",,
undiscovered_tarot,Other,未发现,"在非预设局
中购买或
使用此牌
以了解其效果",Not Discovered,"Purchase or use
this card in an
unseeded run to
learn what it does",,
undiscovered_voucher,Other,未发现,"在非预设局
中兑换并使用
此优惠券
以了解其效果",Not Discovered,"Redeem this
voucher in an
unseeded run to
learn what it does",,
white_sticker,Other,白标贴,"使用这张小丑牌
在{C:attention}白注
难度下获胜",White Sticker,"Used this Joker
to win on {C:attention}White
{C:attention}Stake{} difficulty",,
wip_locked,Other,锁定,"正在
制作中",Locked,"Work in
progress",,
c_ceres,Planet,谷神星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Ceres,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_earth,Planet,地球,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Earth,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_eris,Planet,阋神星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Eris,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_jupiter,Planet,木星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Jupiter,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_mars,Planet,火星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Mars,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_mercury,Planet,水星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Mercury,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_neptune,Planet,海王星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Neptune,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_planet_x,Planet,X行星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Planet X,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_pluto,Planet,冥王星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Pluto,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_saturn,Planet,土星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Saturn,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_uranus,Planet,天王星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Uranus,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_venus,Planet,金星,"{S:0.8}（{S:0.8,V:1}等级#1#{S:0.8}）{}
升级{C:attention}#2#
{C:mult}+#3#{}倍率并且
{C:chips}+#4#{}筹码",Venus,"{S:0.8}({S:0.8,V:1}lvl.#1#{S:0.8}){} Level up
{C:attention}#2#
{C:mult}+#3#{} Mult and
{C:chips}+#4#{} chips",,
c_ankh,Spectral,生命十字章,"随机复制一张
{C:attention}小丑牌{}，摧毁
其他小丑牌",Ankh,"Create a copy of a
random {C:attention}Joker{}, destroy
all other Jokers",,
c_aura,Spectral,光环,"选定{C:attention}1{}张手牌，为其添加
{C:dark_edition}闪箔卡{}、{C:dark_edition}镭射卡{}、或{C:dark_edition}多彩卡{}
效果中的一种",Aura,"Add {C:dark_edition}Foil{}, {C:dark_edition}Holographic{},
or {C:dark_edition}Polychrome{} effect to
{C:attention}1{} selected card in hand",,
c_black_hole,Spectral,黑洞,"所有{C:legendary,E:1}牌型
提升{C:attention}1{}级",Black Hole,"Upgrade every
{C:legendary,E:1}poker hand
by {C:attention}1{} level",,
c_cryptid,Spectral,神秘生物,"选定手牌中的{C:attention}1{}张牌
生成{C:attention}#1#{}张其复制牌",Cryptid,"Create {C:attention}#1#{} copies of
{C:attention}1{} selected card
in your hand",,
c_deja_vu,Spectral,既视感,"给你手牌中的
{C:attention}1{}张所选卡牌
加上{C:red}红色蜡封{}",Deja Vu,"Add a {C:red}Red Seal{}
to {C:attention}1{} selected
card in your hand",,
c_ectoplasm,Spectral,灵质,"添加{C:dark_edition}负片{}效果到
一张随机的{C:attention}小丑牌
手牌上限{C:red}-#1#{}",Ectoplasm,"Add {C:dark_edition}Negative{} to
a random {C:attention}Joker,
{C:red}-#1#{} hand size",,
c_familiar,Spectral,使魔,"随机摧毁{C:attention}1{}张手牌
并添加{C:attention}#1#{}张
随机{C:attention}增强的人头牌{}
到手牌中",Familiar,"Destroy {C:attention}1{} random
card in your hand, add
{C:attention}#1#{} random {C:attention}Enhanced face
{C:attention}cards{} to your hand",,
c_grim,Spectral,严峻,"随机摧毁{C:attention}1{}张手牌
并添加{C:attention}#1#{}张
随机{C:attention}增强的A{}
到手牌中",Grim,"Destroy {C:attention}1{} random
card in your hand,
add {C:attention}#1#{} random {C:attention}Enhanced
{C:attention}Aces{} to your hand",,
c_hex,Spectral,妖法,"随机为一张{C:attention}小丑牌{}添加
{C:attention}多彩{}，摧毁
其他小丑牌",Hex,"Add {C:dark_edition}Polychrome{} to a
random {C:attention}Joker{}, destroy
all other Jokers",,
c_immolate,Spectral,火祭,"随机摧毁
{C:attention}#1#{}张手牌
获得{C:money}$#2#",Immolate,"Destroys {C:attention}#1#{} random
cards in hand,
gain {C:money}$#2#",,
c_incantation,Spectral,咒语,"随机摧毁{C:attention}1{}张手牌
并添加{C:attention}#1#{}张
随机{C:attention}增强的数字牌{}
到手牌中",Incantation,"Destroy {C:attention}1{} random
card in your hand, add {C:attention}#1#
random {C:attention}Enhanced numbered
{C:attention}cards{} to your hand",,
c_medium,Spectral,灵媒,"给你手牌中的
{C:attention}1{}张所选卡牌
加上{C:purple}紫色蜡封{}",Medium,"Add a {C:purple}Purple Seal{}
to {C:attention}1{} selected
card in your hand",,
c_ouija,Spectral,占卜,"将手中所有
手持牌转换为同一个
随机{C:attention}点数
手牌上限{C:red}-1{}",Ouija,"Converts all cards
in hand to a single
random {C:attention}rank
{C:red}-1{} hand size",,
c_sigil,Spectral,符印,"将手中所有
卡牌转换为同一种
随机{C:attention}花色",Sigil,"Converts all cards
in hand to a single
random {C:attention}suit",,
c_soul,Spectral,灵魂,"生成一张
{C:legendary,E:1}传奇{}小丑牌
{C:inactive}（必须有空位）",The Soul,"Creates a
{C:legendary,E:1}Legendary{} Joker
{C:inactive}(Must have room)",,
c_talisman,Spectral,护身符,"将{C:attention}金色蜡封{}添加到
{C:attention}1{}张选定的
手牌中",Talisman,"Add a {C:attention}Gold Seal{}
to {C:attention}1{} selected
card in your hand",,
c_trance,Spectral,入迷,"给你手牌中的
{C:attention}1{}张所选卡牌
加上{C:blue}蓝色蜡封{}",Trance,"Add a {C:blue}Blue Seal{}
to {C:attention}1{} selected
card in your hand",,
c_wraith,Spectral,幽灵,"生成一张随机的
{C:red}稀有{C:attention}小丑牌{}
将资金变为{C:money}$0",Wraith,"Creates a random
{C:red}Rare{C:attention} Joker{},
sets money to {C:money}$0",,
stake_black,Stake,黑注,"商店可能会出现{C:attention}永恒{}小丑牌
{C:inactive,s:0.8}(无法卖出或摧毁)
{s:0.8}之前所有赌注也都起效",Black Stake,"Shop can have {C:attention}Eternal{} Jokers
{C:inactive,s:0.8}(Can't be sold or destroyed)
{s:0.8}Applies all previous Stakes",,
stake_blue,Stake,蓝注,"弃牌次数{C:red}-1{}
{s:0.8}之前所有赌注也都起效",Blue Stake,"{C:red}-1{} Discard
{s:0.8}Applies all previous Stakes",,
stake_gold,Stake,金注,"商店可能会出现{C:attention}租用{}小丑牌
{C:inactive,s:0.8}（售价为$1，每回合花费{C:money,s:0.8}$3{C:inactive,s:0.8}）
{s:0.8}之前所有赌注也都起效",Gold Stake,"Shop can have {C:attention}Rental{} Jokers
{C:inactive,s:0.8}(Costs {C:money,s:0.8}$3{C:inactive,s:0.8} per round)
{s:0.8}Applies all previous Stakes",,
stake_green,Stake,绿注,"{C:attention}底注{}提升时
过关需求分数的增速更快
{s:0.8}之前所有赌注也都起效",Green Stake,"Required score scales
faster for each {C:attention}Ante
{s:0.8}Applies all previous Stakes",,
stake_orange,Stake,橙注,"商店可能会出现{C:attention}易腐{}小丑牌
{C:inactive,s:0.8}（经过5回合后被削弱）
{s:0.8}之前所有赌注也都起效",Orange Stake,"Shop can have {C:attention}Perishable{} Jokers
{C:inactive,s:0.8}(Debuffed after 5 Rounds)
{s:0.8}Applies all previous Stakes",,
stake_purple,Stake,紫注,"{C:attention}底注{}提升时
过关需求分数的增速更快
{s:0.8}之前所有赌注也都起效",Purple Stake,"Required score scales
faster for each {C:attention}Ante
{s:0.8}Applies all previous Stakes",,
stake_red,Stake,红注,"{C:attention}小盲注{}
没有奖励金
{s:0.8}之前所有赌注也都起效",Red Stake,"{C:attention}Small Blind{} gives
no reward money
{s:0.8}Applies all previous Stakes",,
stake_white,Stake,白注,基础难度,White Stake,Base Difficulty,,
tag_boss,Tag,Boss标签,"重掷
{C:attention}Boss盲注",Boss Tag,"Rerolls the
{C:attention}Boss Blind",,
tag_buffoon,Tag,小丑标签,"获得一个免费的
{C:attention}超级小丑包",Buffoon Tag,"Gives a free
{C:attention}Mega Buffoon Pack",,
tag_charm,Tag,吊饰标签,"获得一个免费的
{C:tarot}超级秘术包",Charm Tag,"Gives a free
{C:tarot}Mega Arcana Pack",,
tag_coupon,Tag,代金券标签,"下一家店内的
初始卡牌和补充包
均为免费",Coupon Tag,"Initial cards and
booster packs in next
shop are free",,
tag_d_six,Tag,D6标签,"下一个商店的
重掷起价为{C:money}$0",D6 Tag,"Rerolls in next shop
start at {C:money}$0",,
tag_double,Tag,双倍标签,"下一次选定的{C:attention}标签{}
会额外获得一个复制品
{s:0.8,C:attention}双倍标签{s:0.8}除外",Double Tag,"Gives a copy of the
next selected {C:attention}Tag{}
{s:0.8,C:attention}Double Tag{s:0.8} excluded",,
tag_economy,Tag,经济标签,"资金翻倍
{C:inactive}（最高{C:money}$#1#{C:inactive}）",Economy Tag,"Doubles your money
{C:inactive}(Max of {C:money}$#1#{C:inactive})",,
tag_ethereal,Tag,空灵标签,"获得一个免费的
{C:spectral}幻灵包",Ethereal Tag,"Gives a free
{C:spectral}Spectral Pack",,
tag_foil,Tag,闪箔标签,"商店里的下一张
基础版本小丑牌
将会免费且变为{C:dark_edition}闪箔",Foil Tag,"Next base edition shop
Joker is free and
becomes {C:dark_edition}Foil",,
tag_garbage,Tag,垃圾标签,"本赛局每一次
未使用的{C:red}弃牌{}得到{C:money}$#1#{}
{C:inactive}（将得到{C:money}$#2#{C:inactive}）",Garbage Tag,"Gives {C:money}$#1#{} per unused
{C:red}discard{} this run
{C:inactive}(Will give {C:money}$#2#{C:inactive})",,
tag_handy,Tag,顺手标签,"本赛局每打出过一次{C:blue}手牌{}
获得{C:money}$#1#{}
{C:inactive}（将得到{C:money}$#2#{C:inactive}）",Handy Tag,"Gives {C:money}$#1#{} per played
{C:blue}hand{} this run
{C:inactive}(Will give {C:money}$#2#{C:inactive})",,
tag_holo,Tag,镭射标签,"商店里的下一张
基础版本小丑牌
将会免费且变为{C:dark_edition}镭射",Holographic Tag,"Next base edition shop
Joker is free and
becomes {C:dark_edition}Holographic",,
tag_investment,Tag,投资标签,"击败
Boss盲注后
获得{C:money}$#1#",Investment Tag,"After defeating
the Boss Blind,
gain {C:money}$#1#",,
tag_juggle,Tag,杂耍标签,"下一回合
{C:attention}+#1#{}手牌上限",Juggle Tag,"{C:attention}+#1#{} hand size
next round",,
tag_meteor,Tag,流星标签,"获得一个免费的
{C:planet}超级天体包",Meteor Tag,"Gives a free
{C:planet}Mega Celestial Pack",,
tag_negative,Tag,负片标签,"商店里的下一张
基础版本小丑牌
将会免费且变为{C:dark_edition}负片",Negative Tag,"Next base edition shop
Joker is free and
becomes {C:dark_edition}Negative",,
tag_orbital,Tag,轨道标签,"升级{C:attention}#1#
{C:attention}#2#个等级",Orbital Tag,"Upgrade {C:attention}#1#
by {C:attention}#2# levels",,
tag_polychrome,Tag,多彩标签,"商店里的下一张
基础版本小丑牌
将会免费且变为{C:dark_edition}多彩",Polychrome Tag,"Next base edition shop
Joker is free and
becomes {C:dark_edition}Polychrome",,
tag_rare,Tag,稀有标签,"商店会有一张免费的
{C:red}稀有小丑牌",Rare Tag,"Shop has a free
{C:red}Rare Joker",,
tag_skip,Tag,速度标签,"本赛局中每跳过
一次盲注，可获得{C:money}$#1#{}
{C:inactive}（将获得{C:money}$#2#{C:inactive}）",Speed Tag,"Gives {C:money}$#1#{} per skipped
Blind this run
{C:inactive}(Will give {C:money}$#2#{C:inactive})",,
tag_standard,Tag,标准标签,"获得一个免费的
{C:attention}超级标准包",Standard Tag,"Gives a free
{C:attention}Mega Standard Pack",,
tag_top_up,Tag,充值标签,"生成最多{C:attention}#1#张
{C:blue}普通{}小丑牌
{C:inactive}（必须有空位）",Top-up Tag,"Create up to {C:attention}#1#
{C:blue}Common{} Jokers
{C:inactive}(Must have room)",,
tag_uncommon,Tag,罕见标签,"商店会有一张免费的
{C:green}罕见小丑牌",Uncommon Tag,"Shop has a free
{C:green}Uncommon Joker",,
tag_voucher,Tag,优惠券标签,"添加一张{C:voucher}优惠券
到下一个商店",Voucher Tag,"Adds one {C:voucher}Voucher
to the next shop",,
c_chariot,Tarot,战车,"增强{C:attention}#1#{}张
选定卡牌成为
{C:attention}#2#",The Chariot,"Enhances {C:attention}#1#{} selected
card into a
{C:attention}#2#",,
c_death,Tarot,死神,"选定{C:attention}#1#{}张卡牌，
将{C:attention}靠左{}的那张牌
变成{C:attention}靠右{}的那张牌
{C:inactive}（你可以拖动来改变位置）",Death,"Select {C:attention}#1#{} cards,
convert the {C:attention}left{} card
into the {C:attention}right{} card
{C:inactive}(Drag to rearrange)",,
c_devil,Tarot,恶魔,"增强{C:attention}#1#{}张
选定卡牌成为
{C:attention}#2#",The Devil,"Enhances {C:attention}#1#{} selected
card into a
{C:attention}#2#",,
c_emperor,Tarot,皇帝,"生成最多{C:attention}#1#张
随机{C:tarot}塔罗牌{}
{C:inactive}（必须有空位）",The Emperor,"Creates up to {C:attention}#1#
random {C:tarot}Tarot{} cards
{C:inactive}(Must have room)",,
c_empress,Tarot,皇后,"增强{C:attention}#1#张
选定卡牌成为
{C:attention}#2#",The Empress,"Enhances {C:attention}#1#
selected cards to
{C:attention}#2#s",,
c_fool,Tarot,愚者,"生成本赛局中
上一次使用的
{C:tarot}塔罗牌{}或{C:planet}星球牌{}
不包括{s:0.8,C:tarot}愚者{s:0.8}",The Fool,"Creates the last
{C:tarot}Tarot{} or {C:planet}Planet{} card
used during this run
{s:0.8,C:tarot}The Fool{s:0.8} excluded",,
c_hanged_man,Tarot,倒吊人,"摧毁最多{C:attention}#1#{}张
选定卡牌",The Hanged Man,"Destroys up to
{C:attention}#1#{} selected cards",,
c_heirophant,Tarot,教皇,"增强{C:attention}#1#张
选定卡牌成为
{C:attention}#2#",The Hierophant,"Enhances {C:attention}#1#
selected cards to
{C:attention}#2#s",,
c_hermit,Tarot,隐者,"资金加倍
{C:inactive}（最高{C:money}$#1#{C:inactive}）",The Hermit,"Doubles money
{C:inactive}(Max of {C:money}$#1#{C:inactive})",,
c_high_priestess,Tarot,女祭司,"生成最多{C:attention}#1#张
张随机{C:planet}星球牌{}
{C:inactive}（必须有空位）",The High Priestess,"Creates up to {C:attention}#1#
random {C:planet}Planet{} cards
{C:inactive}(Must have room)",,
c_judgement,Tarot,审判,"生成一张随机的
{C:attention}{}小丑牌
{C:inactive}（必须有空位）",Judgement,"Creates a random
{C:attention}Joker{} card
{C:inactive}(Must have room)",,
c_justice,Tarot,正义,"增强{C:attention}#1#{}张
选定卡牌成为
{C:attention}#2#",Justice,"Enhances {C:attention}#1#{} selected
card into a
{C:attention}#2#",,
c_lovers,Tarot,恋人,"增强{C:attention}#1#{}张
选定卡牌成为
{C:attention}#2#",The Lovers,"Enhances {C:attention}#1#{} selected
card into a
{C:attention}#2#",,
c_magician,Tarot,魔术师,"增强{C:attention}#1#{}张
选定卡牌成为
{C:attention}#2#",The Magician,"Enhances {C:attention}#1#{}
selected cards to
{C:attention}#2#s",,
c_moon,Tarot,月亮,"将最多{C:attention}#1#{}张
选定卡牌
转换为{V:1}#2#{}",The Moon,"Converts up to
{C:attention}#1#{} selected cards
to {V:1}#2#{}",,
c_star,Tarot,星星,"将最多{C:attention}#1#{}张
选定卡牌
转换为{V:1}#2#{}",The Star,"Converts up to
{C:attention}#1#{} selected cards
to {V:1}#2#{}",,
c_strength,Tarot,力量,"将最多{C:attention}#1#{}张
选定卡牌
点数提高{C:attention}1",Strength,"Increases rank of
up to {C:attention}#1#{} selected
cards by {C:attention}1",,
c_sun,Tarot,太阳,"将最多{C:attention}#1#{}张
选定卡牌
转换为{V:1}#2#{}",The Sun,"Converts up to
{C:attention}#1#{} selected cards
to {V:1}#2#{}",,
c_temperance,Tarot,节制,"获得拥有的小丑牌
售出价格总和的
资金{C:inactive}（最高{C:money}$#1#{C:inactive}）
{C:inactive}（当前{C:money}$#2#{C:inactive}）",Temperance,"Gives the total sell
value of all current
Jokers {C:inactive}(Max of {C:money}$#1#{C:inactive})
{C:inactive}(Currently {C:money}$#2#{C:inactive})",,
c_tower,Tarot,塔,"增强{C:attention}#1#{}张
选定卡牌成为
{C:attention}#2#",The Tower,"Enhances {C:attention}#1#{} selected
card into a
{C:attention}#2#",,
c_wheel_of_fortune,Tarot,命运之轮,"有{C:green}#1#/#2#{}几率
给一张随机{C:attention}小丑牌
添加{C:dark_edition}闪箔{}、{C:dark_edition}镭射{}
或{C:dark_edition}多彩{}版本",The Wheel of Fortune,"{C:green}#1# in #2#{} chance to add
{C:dark_edition}Foil{}, {C:dark_edition}Holographic{}, or
{C:dark_edition}Polychrome{} edition
to a random {C:attention}Joker",,
c_world,Tarot,世界,"将最多{C:attention}#1#{}张
选定卡牌
转换为{V:1}#2#{}",The World,"Converts up to
{C:attention}#1#{} selected cards
to {V:1}#2#{}",,
v_antimatter,Voucher,反物质,小丑牌槽位{C:dark_edition}+1{},Antimatter,{C:dark_edition}+1{} Joker Slot,"兑换{C:voucher}空白{}优惠券
总计{C:attention}#1#{}次
{C:inactive}(#2#)","Redeem {C:voucher}Blank{}
{C:attention}#1#{} total times
{C:inactive}(#2#)"
v_blank,Voucher,空白,{C:inactive}什么都没有？,Blank,{C:inactive}Does nothing?,,
